ChainId,Name,Symbol,Decimals,TokenAddress
1,Cult DAO,CULT,18,0xf0f9D895aCa5c8678f706FB8216fa22957685A13
1,Render Token,RNDR,18,0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24
1,IMPT,IMPT,18,0x04C17b9D3b29A78F7Bd062a57CF44FC633e71f85
1,numbers,NMB,0,0xc647517C7266B2564971956cf3Fa523AA7fC5527
1,Rise of the Apes,ROTA,0,0xDfB29501b42f63A947Ddc5249F185D6BcBE6986f
1,FreakBait,FREAK,18,0xbF7510a7A3AE7C5E3541Bd7bf07dEa696686396B
1,Covalent Query Token,CQT,18,0xD417144312DbF50465b1C641d016962017Ef6240
1,ZkTsunami,:ZKT:,9,0x76fcA1adb104770B38581B64d55e67fA5A0f3966
1,BabyPepes,BabyPepes,18,0x537202da31208f3397857399461c787c51Efbf00
1,BULL RUNNERS CLUB,BRC,0,0x1334CbC8883b4f6aa4a77997558E8164E7c9d514
1,agEUR,agEUR,18,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8
1,Hashbarium,HASH,18,0xC0EB56A1742cFd12f9C560b645dE21E52209948A
1,Image Generation AI | imgnAI.com,imgnAI,9,0xA735A3AF76CC30791C61c10d585833829d36CBe0
1,SatoshiMysteryAvatars,SMA,0,0x824F9D8751Fc97C62B4F0bFFB789a617f1cEF39d
1,Ethereum Name Service,ENS,18,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72
1,WeWeed,WWD,0,0x1cA630a4a3757e9198bFBA166300Ce5e9adaeF46
1,Meta Athletes,ATH,0,0xDA01295Ad0Ac1942Fd8083F39965f9427B00541a
1,Shibarium Pad,$SHIBP,18,0xC90906d45046059221e908de5Cc8fcfaCA859235
1,BICASSO AI,BICASSO,18,0xE47Ad6941a40F4bc32D9D6588C917B2538D11673
1,Darkfeeling,DRK,0,0xd6Df8762AB5e267F392F01a7Da54E684FA0bC28C
1,Basic Attention Token,BAT,18,0x0D8775F648430679A709E98d2b0Cb6250d2887EF
1,Bancor Network Token,BNT,18,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
1,Uniswap V2,UNI-V2,18,0xc54Ba7AAbE7164Ca2Aa092900060fE2ba6eCCD8B
1,Ordinal Chain,ORCH,18,0xC4cefDf1bC9FDE0Ef82CDfE609dc743Ee23FF1Ca
1,Manifold Finance,FOLD,18,0xd084944d3c05CD115C09d072B9F44bA3E0E45921
1,ZOKER,:ZKR:,9,0xa3c01F68Ec8ce0788247A65990AC3daeBA3B5920
1,Audius,AUDIO,18,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998
1,Curve.fi ETH/stETH,steCRV,18,0x06325440D014e39736583c165C2963BA99fAf14E
1,Morpheus.Network,MNW,18,0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4
1,Uniswap V2,UNI-V2,18,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f
1,IceToken,ICE,18,0xf16e81dce15B08F326220742020379B855B87DF9
1,Amp,AMP,18,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
1,Central Bank Digital Currency,CBDC,8,0xCe5935165895731a067AC7bbbfF6D5A6180dBb51
1,Mask Network,MASK,18,0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074
1,Hashflow,HFT,18,0xb3999F658C0391d94A37f7FF328F3feC942BcADC
1,Weirdo Ghost Gang,GHOST,0,0x9401518f4EBBA857BAA879D9f76E1Cc8b31ed197
1,PoolTogether,POOL,18,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e
1,Genesis Box,GBOX,0,0xB75F09b4340aEb85Cd5F2Dd87d31751EDC11ed39
1,Botto,BOTTO,18,0x9DFAD1b7102D46b1b197b90095B5c4E9f5845BBA
1,Hop,HOP,18,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC
1,goblintown,GOBLIN,0,0xbCe3781ae7Ca1a5e050Bd9C4c77369867eBc307e
1,Meebits,⚇,0,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7
1,AI LAUNCH,AIL,18,0x9395AA8b5B274EFEa829C204991ee10302d0c3E2
1,Trainers,TRNR,0,0x8A3749936E723325C6b645a0901470cD9E790B94
1,Artify,AFY,18,0xa41161AF8D4Ee421ba5fED4328F2B12034796A21
1,Wrapped LUNA Token,LUNA,18,0xd2877702675e6cEb975b4A1dFf9fb7BAF4C91ea9
1,Convex CRV,cvxCRV,18,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7
1,Curve.fi FRAX/USDC,crvFRAX,18,0x3175Df0976dFA876431C2E9eE6Bc45b65d3473CC
1,Pre Shibarium,PRESHIB,18,0xa1399b522453dD6B62d4dC047b7683916f0b2585
1,AQ1,AQ1,0,0xC163A42088c7c65a23B059537519F6a02bD18075
1,Ordinal BTC ,oBTC,18,0xfF770E4c68e35DB85c6e0E89a43750eC02bDB2AC
